Primary Category,Secondary Category
Harware and Network,Console Setup
Harware and Network,Network setup
Harware and Network,Console troubleshooting
Harware and Network,Video issue
Harware and Network,Audio issue
Harware and Network,Controller not working
Harware and Network,Accessory not working
Harware and Network,System updates
Subscriptions and Billing,Preordered content
Subscriptions and Billing,Purchased content
Subscriptions and Billing,Gifted content
Subscriptions and Billing,Subscriptions
Subscriptions and Billing,Refunds
Subscriptions and Billing,Charge disputes
Subscriptions and Billing,Recurring billing
Subscriptions and Billing,Balance inquiry
Subscriptions and Billing,Xbox Mastercard
Games and apps,Game not working
Games and apps,App not working
Games and apps,Game backward compatability
Games and apps,Game updates
Games and apps,Downloadable content
Account and Profile,New account creation
Account and Profile,Forgot username
Account and Profile,Forgt password
Account and Profile,Change profile information
Account and Profile,Delete account
Account and Profile,Two factor authentification
Online Safety,Privacy settings
Online Safety,Report onine harassment
Online Safety,Report another user
Online Safety,Account ban or suspension
Social Activity,Help with friends and followers 
Social Activity,Voice chat not working
Social Activity,Can't send or receive messages
Social Activity,Game capture issues
Social Activity,Multiplayer hosting
